timestamp,fault_id,root_cause_node,description,is_recurring
1780421,delay,frontend,微服务故障,False
1780421,delay,frontend,微服务故障,False
1780421,"delay,stress",frontend;orders,微服务故障,False
1780421,"delay,stress",frontend;orders,微服务故障,False
1780422,"delay,stress",frontend;orders,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"delay,stress,podkill",frontend;orders;catalogue,微服务故障,False
1780422,"stress,podkill",orders;catalogue,微服务故障,False
1780422,"stress,podkill",orders;catalogue,微服务故障,False
1780422,"stress,podkill",orders;catalogue,微服务故障,False
1780422,"stress,podkill",orders;catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780422,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780423,podkill,catalogue,微服务故障,False
1780425,stress,orders,微服务故障,False
1780425,stress,orders,微服务故障,False
1780425,stress,orders,微服务故障,False
1780425,stress,orders,微服务故障,False
1780425,stress,orders,微服务故障,False
1780425,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
1780426,stress,orders,微服务故障,False
